samples_proportion,x_vars_proportion,train_time,valid_time,accuracy
1,1,106500,1700,0.803636
2,1,424500,3000,0.84
3,1,971800,4000,0.810909
4,1,1682000,5400,0.807273
5,1,2576600,6300,0.825455
6,1,3783100,7500,0.818182
7,1,6727400,11100,0.821818
8,1,6735300,9900,0.818182
1,2,191200,1300,0.901818
2,2,799600,2800,0.898182
3,2,2526300,4600,0.898182
4,2,4622900,4900,0.905455
5,2,5357500,6200,0.912727
6,2,6877600,7100,0.934545
7,2,9896600,8000,0.941818
8,2,12929700,9000,0.938182
1,3,306000,1300,0.934545
2,3,1227600,2300,0.96
3,3,3403500,3500,0.949091
4,3,5731600,4300,0.956364
5,3,8521300,5000,0.967273
6,3,11503700,6000,0.974545
7,3,16675500,7500,0.974545
8,3,21339400,8300,0.970909
1,4,404300,1300,0.934545
2,4,1616300,2400,0.967273
3,4,4066500,3100,0.963636
4,4,6712700,4400,0.956364
5,4,11053300,5000,0.978182
6,4,15815200,5600,0.967273
7,4,21169300,7300,0.978182
8,4,27093200,8400,0.974545
1,1,93300,1300,0.803636
2,1,386300,2500,0.84
3,1,945600,3700,0.810909
4,1,1762600,4800,0.807273
5,1,2491900,5400,0.825455
6,1,3607800,12500,0.818182
7,1,4880800,7900,0.821818
8,1,6363800,8400,0.818182
1,2,173600,1000,0.901818
2,2,697600,2700,0.898182
3,2,1739900,3500,0.898182
4,2,3059800,4100,0.905455
5,2,4882400,5300,0.912727
6,2,6570200,7100,0.934545
7,2,9594100,7900,0.941818
8,2,12625500,8600,0.938182
1,3,328700,1300,0.934545
2,3,1250500,2400,0.96
3,3,3107800,3000,0.949091
4,3,5123000,4200,0.956364
5,3,8556200,4900,0.967273
6,3,11536700,5700,0.974545
7,3,16032900,7000,0.974545
8,3,21082600,9000,0.970909
1,4,472400,1300,0.934545
2,4,1820500,2700,0.967273
3,4,4528500,3700,0.963636
4,4,7577500,4300,0.956364
5,4,11328900,4800,0.978182
6,4,16130700,5700,0.967273
7,4,21685200,7000,0.978182
8,4,27313900,8200,0.974545
1,1,99600,1100,0.803636
2,1,388500,2700,0.84
3,1,884300,3500,0.810909
4,1,1517600,4700,0.807273
5,1,2332900,5400,0.825455
6,1,3398400,6300,0.818182
7,1,4691000,7800,0.821818
8,1,6118100,8300,0.818182
1,2,173600,1200,0.901818
2,2,691900,2600,0.898182
3,2,1731700,3600,0.898182
4,2,3397300,4600,0.905455
5,2,4909200,5600,0.912727
6,2,6730300,7100,0.934545
7,2,9783900,8100,0.941818
8,2,12834800,9000,0.938182
1,3,305100,1300,0.934545
2,3,1608400,2400,0.96
3,3,3028900,3200,0.949091
4,3,5051900,4100,0.956364
5,3,8515300,5000,0.967273
6,3,11346300,6000,0.974545
7,3,16035700,6800,0.974545
8,3,20563600,8000,0.970909
1,4,402200,1300,0.934545
2,4,1554200,2400,0.967273
3,4,4012700,3200,0.963636
4,4,13544900,9000,0.956364
5,4,20622700,5600,0.978182
6,4,23253100,13600,0.967273
7,4,22414600,7100,0.978182
8,4,27615700,7800,0.974545
1,1,94600,1100,0.803636
2,1,376500,2600,0.84
3,1,862700,3800,0.810909
4,1,1518000,4600,0.807273
5,1,2459100,5700,0.825455
6,1,3353800,6200,0.818182
7,1,4618400,7900,0.821818
8,1,6429000,10000,0.818182
1,2,194300,1500,0.901818
2,2,698700,2800,0.898182
3,2,1964700,3500,0.898182
4,2,3070400,4300,0.905455
5,2,4883500,5400,0.912727
6,2,6579800,6900,0.934545
7,2,9720000,8000,0.941818
8,2,13022000,8500,0.938182
1,3,303200,1400,0.934545
2,3,1165100,2300,0.96
3,3,3030400,3200,0.949091
4,3,5003100,4400,0.956364
5,3,8573600,5000,0.967273
6,3,11541400,6100,0.974545
7,3,15851400,6900,0.974545
8,3,20502100,8100,0.970909
1,4,402100,1200,0.934545
2,4,1585300,2400,0.967273
3,4,3984000,3200,0.963636
4,4,6756400,4400,0.956364
5,4,11128300,4700,0.978182
6,4,15958000,5700,0.967273
7,4,21134600,6800,0.978182
8,4,27099800,8000,0.974545
1,1,94000,1300,0.803636
2,1,375100,2600,0.84
3,1,862000,3500,0.810909
4,1,1491900,4600,0.807273
5,1,2300000,5200,0.825455
6,1,3449100,6300,0.818182
7,1,4631000,8000,0.821818
8,1,6116100,8600,0.818182
1,2,173300,1200,0.901818
2,2,702500,2500,0.898182
3,2,1892000,3900,0.898182
4,2,3367700,4800,0.905455
5,2,4947900,5800,0.912727
6,2,6635200,7200,0.934545
7,2,9669200,7900,0.941818
8,2,12575400,8500,0.938182
1,3,339300,1800,0.934545
2,3,1162500,2600,0.96
3,3,2988600,3300,0.949091
4,3,5082000,4200,0.956364
5,3,8328500,4800,0.967273
6,3,11318300,5900,0.974545
7,3,15973300,7200,0.974545
8,3,20356500,8000,0.970909
1,4,403700,1300,0.934545
2,4,1579700,2400,0.967273
3,4,4037000,3200,0.963636
4,4,6926800,4300,0.956364
5,4,11178700,5000,0.978182
6,4,17060900,6300,0.967273
7,4,21129000,6700,0.978182
8,4,27725000,8300,0.974545
1,1,94000,1300,0.803636
2,1,402200,2900,0.84
3,1,865000,3700,0.810909
4,1,1515200,4600,0.807273
5,1,2702300,5500,0.825455
6,1,3350600,6100,0.818182
7,1,4668900,8000,0.821818
8,1,6047400,8400,0.818182
1,2,182800,1100,0.901818
2,2,710600,2600,0.898182
3,2,1756900,3700,0.898182
4,2,3114500,4100,0.905455
5,2,4862700,5400,0.912727
6,2,6647500,6900,0.934545
7,2,9745100,8300,0.941818
8,2,12711200,8600,0.938182
1,3,302100,1300,0.934545
2,3,1181900,2400,0.96
3,3,2991500,3100,0.949091
4,3,5214700,4200,0.956364
5,3,8277100,4700,0.967273
6,3,11998500,5700,0.974545
7,3,15951200,6900,0.974545
8,3,20618000,8400,0.970909
1,4,403900,1300,0.934545
2,4,1617400,2200,0.967273
3,4,4186700,3100,0.963636
4,4,6817400,4300,0.956364
5,4,11229800,4900,0.978182
6,4,16250000,6200,0.967273
7,4,21308800,6700,0.978182
8,4,28137900,8800,0.974545
1,1,93900,1300,0.803636
2,1,373500,2600,0.84
3,1,866600,3300,0.810909
4,1,1494400,4700,0.807273
5,1,2306500,5500,0.825455
