samples_proportion,x_vars_proportion,time
1,1,109500
2,1,533800
3,1,1288500
4,1,1671400
5,1,2645200
6,1,4415200
7,1,5437700
8,1,6344000
1,2,285600
2,2,780200
3,2,1916300
4,2,3421300
5,2,5684000
6,2,8468300
7,2,11551700
8,2,14057300
1,3,317600
2,3,1230400
3,3,2858600
4,3,5312400
5,3,8584600
6,3,13161900
7,3,18299000
8,3,23904200
1,4,421500
2,4,1660000
3,4,3802600
4,4,7835600
5,4,11779800
6,4,16988600
7,4,23608100
8,4,31534500
1,1,101600
2,1,355700
3,1,834600
4,1,1504600
5,1,2424600
6,1,3531700
7,1,5353200
8,1,7152000
1,2,179000
2,2,707700
3,2,1671600
4,2,3172600
5,2,5557800
6,2,7824100
7,2,10291100
8,2,13411400
1,3,313500
2,3,1221900
3,3,2963100
4,3,5358500
5,3,8557400
6,3,12948600
7,3,17471200
8,3,22596300
1,4,420400
2,4,1636200
3,4,3790900
4,4,7154300
5,4,11474500
6,4,17371400
7,4,25079300
8,4,30827600
1,1,94600
2,1,379400
3,1,821000
4,1,1511400
5,1,2408600
6,1,3500500
7,1,4859000
8,1,6689000
1,2,179300
2,2,795700
3,2,1742900
4,2,3098400
5,2,5147300
6,2,7310900
7,2,10492200
8,2,15048200
1,3,314000
2,3,1246700
3,3,3083700
4,3,5315700
5,3,8647600
6,3,12723800
7,3,18258000
8,3,25212400
1,4,599500
2,4,1776300
3,4,4146900
4,4,8697700
5,4,17282700
6,4,22836000
7,4,31768100
8,4,39940900
1,1,146400
2,1,400400
3,1,974300
4,1,1939200
5,1,2781600
6,1,4998500
7,1,5767000
8,1,7339500
1,2,249900
2,2,786100
3,2,1856100
4,2,3388500
5,2,5529200
6,2,8046700
7,2,10239600
8,2,13730900
1,3,317200
2,3,1228700
3,3,2976900
4,3,5208500
5,3,8771300
6,3,12551500
7,3,17395000
8,3,24431900
1,4,420000
2,4,1635000
3,4,3768600
4,4,6920500
5,4,11540800
6,4,17039300
7,4,24416900
8,4,32719900
1,1,93500
2,1,357000
3,1,838000
4,1,1503400
5,1,2651400
6,1,5303300
7,1,5287000
8,1,6603500
1,2,179700
2,2,713000
3,2,1817500
4,2,3241800
5,2,5541700
6,2,7438500
7,2,10270100
8,2,13347700
1,3,315800
2,3,1227500
3,3,2841300
4,3,5175500
