samples_proportion,x_vars_proportion,train_time,valid_time,accuracy
1,1,251900,6600,0.836364
2,1,466600,9200,0.872727
3,1,576000,9100,0.861818
4,1,506000,9700,0.869091
5,1,632400,12100,0.850909
6,1,758000,14600,0.861818
7,1,1277400,17700,0.861818
8,1,1009300,19400,0.861818
1,2,147100,3000,0.916364
2,2,289700,5500,0.916364
3,2,431200,8200,0.92
4,2,638300,12200,0.916364
5,2,721700,13800,0.934545
6,2,864800,16600,0.927273
7,2,1346800,19300,0.938182
8,2,1152700,22100,0.927273
1,3,180700,3000,0.989091
2,3,322800,5900,0.992727
3,3,483300,8800,1
4,3,645400,11700,1
5,3,3325400,58800,1
6,3,1588800,28400,0.996364
7,3,1855100,32900,1
8,3,2113300,37400,1
1,4,329400,5100,0.996364
2,4,393700,6000,0.996364
3,4,588100,8600,0.996364
4,4,785200,11600,1
5,4,1002700,14800,1
6,4,1171600,17200,1
7,4,1361300,20000,1
8,4,1582700,22800,1
1,1,127600,2500,0.836364
2,1,253800,4900,0.872727
3,1,379200,7400,0.861818
4,1,995600,12700,0.869091
5,1,724300,12200,0.850909
6,1,841400,16100,0.861818
7,1,884100,16800,0.861818
8,1,1008700,19400,0.861818
1,2,146700,2900,0.916364
2,2,289000,5600,0.916364
3,2,431500,8200,0.92
4,2,576000,11000,0.916364
5,2,756700,13700,0.934545
6,2,865700,16500,0.927273
7,2,1006300,19100,0.938182
8,2,1152400,22000,0.927273
1,3,164000,3000,0.989091
2,3,322800,5900,0.992727
3,3,483200,8600,1
4,3,711000,11600,1
5,3,804300,14100,1
6,3,962700,16900,0.996364
7,3,1125000,31400,1
8,3,1282000,22800,1
1,4,208800,3100,0.996364
2,4,393400,6000,0.996364
3,4,588100,8600,0.996364
4,4,785000,11800,1
5,4,978600,14500,1
6,4,1173100,17400,1
7,4,1364400,20200,1
8,4,1553000,22800,1
1,1,128600,2500,0.836364
2,1,255600,5000,0.872727
3,1,382100,7400,0.861818
4,1,510300,9800,0.869091
5,1,636900,12100,0.850909
6,1,764200,14700,0.861818
7,1,891500,17100,0.861818
8,1,1016700,19300,0.861818
1,2,170600,3000,0.916364
2,2,347400,6100,0.916364
3,2,474700,9000,0.92
4,2,634700,12100,0.916364
5,2,792000,15200,0.934545
6,2,866400,16600,0.927273
7,2,1006700,19300,0.938182
8,2,1151100,22000,0.927273
1,3,163900,3000,0.989091
2,3,323700,5900,0.992727
3,3,482900,8700,1
4,3,644500,11500,1
5,3,804300,16500,1
6,3,964000,17100,0.996364
7,3,1124900,19900,1
8,3,1280200,22800,1
1,4,199200,3000,0.996364
2,4,393300,6000,0.996364
3,4,587800,8500,0.996364
4,4,808200,11700,1
5,4,978900,14700,1
6,4,1171300,17300,1
7,4,1362900,20200,1
8,4,1550100,22700,1
1,1,127500,2500,0.836364
2,1,253700,4900,0.872727
3,1,419900,8700,0.861818
4,1,556700,10800,0.869091
5,1,695700,13400,0.850909
6,1,834100,15900,0.861818
7,1,1004000,17100,0.861818
8,1,1016800,19300,0.861818
1,2,147200,2900,0.916364
2,2,290300,5500,0.916364
3,2,434600,8300,0.92
4,2,579600,11200,0.916364
5,2,724600,13700,0.934545
6,2,868800,16400,0.927273
7,2,1011100,19200,0.938182
8,2,1156600,21900,0.927273
1,3,164000,3000,0.989091
2,3,323800,5700,0.992727
3,3,483600,8700,1
4,3,645000,11600,1
5,3,805000,14100,1
6,3,1029700,17200,0.996364
7,3,1124000,20300,1
8,3,1552700,22900,1
1,4,200400,3100,0.996364
2,4,393600,6000,0.996364
