samples_proportion,x_vars_proportion,time
1,1,477500
2,1,913600
3,1,723700
4,1,942100
5,1,1176300
6,1,1414700
7,1,1700600
8,1,1877200
1,2,260600
2,2,588500
3,2,837900
4,2,1033200
5,2,1299400
6,2,1569300
7,2,1805600
8,2,2083200
1,3,283500
2,3,552300
3,3,823100
4,3,1180600
5,3,1375400
6,3,1649800
7,3,2118200
8,3,2198100
1,4,320700
2,4,915800
3,4,952300
4,4,1263100
5,4,1579600
6,4,1940600
7,4,2405700
8,4,2508900
1,1,263700
2,1,473000
3,1,708200
4,1,951600
5,1,1176500
6,1,1411800
7,1,1647700
8,1,1901000
1,2,260400
2,2,516500
3,2,774700
4,2,1034700
5,2,1330600
6,2,1559000
7,2,1808000
8,2,2085000
1,3,279600
2,3,551000
3,3,823600
4,3,1485200
5,3,1385800
6,3,1648500
7,3,2035700
8,3,2202400
1,4,321100
2,4,707700
3,4,972000
4,4,1265500
5,4,1601200
6,4,1890300
7,4,2476400
8,4,2510500
1,1,237000
2,1,470700
3,1,709200
4,1,965900
5,1,1180500
6,1,1416600
7,1,1646500
8,1,1906000
1,2,260000
2,2,516000
3,2,773700
4,2,1062300
5,2,1299500
6,2,2025300
7,2,1806100
8,2,2072900
1,3,339400
2,3,550800
3,3,866200
4,3,1111300
5,3,1376200
6,3,1646800
7,3,2013200
8,3,2209100
1,4,322400
2,4,870900
3,4,947000
4,4,1266500
5,4,1653500
6,4,1894200
7,4,2226700
8,4,2508500
1,1,237700
2,1,474900
3,1,720400
4,1,1083300
5,1,1180000
6,1,1427000
7,1,1644300
8,1,1877400
1,2,260700
2,2,540500
3,2,772400
4,2,1036400
5,2,1290400
6,2,1995400
7,2,1805500
8,2,2074000
1,3,278000
2,3,551200
3,3,825700
4,3,1101900
5,3,1403000
6,3,1650300
7,3,2022500
8,3,2223600
1,4,322000
2,4,967800
3,4,966200
4,4,1263200
5,4,1902200
6,4,1916400
7,4,2212000
8,4,2758500
1,1,260900
2,1,520800
3,1,1081000
4,1,944100
5,1,1200400
6,1,1415200
7,1,1652900
8,1,1880600
1,2,260400
2,2,516700
3,2,772400
